P51946 P29083
Q96BK5 Q9Y3D3
Q9NWS0 Q99497
Q13118 Q96BZ8
P25440 Q86YP4
Q9NR28 Q7L2E3
Q9H2K0 O00746
Q9NR30 Q6DKI1
O15055 Q5T7W0
Q6DKI1 Q9BWE0
Q96MF4 Q7Z2T5
P01106 Q9H0E9
P63279 Q9NR30
P82932 P82921
P01106 Q16649
Q01469 Q5T749
Q13887 P54253
P0CAP2 P36954
Q8IW40 P09668
P10809 P09001
Q96MX3 P61313
Q9NRH3 O14530
Q15022 O60216
Q8NEB9 Q96KA5
Q9NR30 P61247
Q9BQ15 Q86YP4
O75683 Q6IQ21
Q05639 P62888
Q96PN7 Q92917
Q6NUN9 P49368
Q96S52 Q15428
P01308 O95168
Q16594 P62847
O43889 Q8TEY5
P62805 Q96SL8
P62263 O75569
P53567 Q16649
Q9UL40 P82930
Q9H2K0 Q9BYD6
O95786 P01100
Q15633 Q13428
P01106 Q8IWI9
Q14197 O43674
Q92793 P42766
Q9H2K0 Q92665
O96006 P0DI81
P23769 Q9Y296
Q13323 Q8IXM6
Q13304 Q03169
Q7Z4Q2 Q9Y2Q3
Q9NRM0 Q9P0S3
Q9NR33 Q9UGP8
P26373 Q9BRJ6
Q9H9B4 O95563
P07510 Q99750
P62888 Q9BZ95
Q8NHW3 Q13562
P17028 Q86VK4
Q16740 P14927
Q96BK5 O60888
P10176 Q8N0V3
O95786 P63279
Q9NWS8 Q6YN16
P62805 Q7L014
Q9BZS1 Q96RE7
Q1KMD3 Q7L2E3
P15954 P14927
P60201 Q96PS8
Q8N490 Q9UBB9
Q9Y5T4 O96000
Q7Z7H8 Q9BQC6
Q9UIS9 Q99750
Q04837 Q16795
Q9UHI6 Q99832
Q9NP92 Q9NUL7
Q13887 Q8WUB8
P62805 Q9HBE1
P30989 Q8TAD4
Q03135 Q9BQE4
Q9NWS9 P63279
Q92633 Q96HR9
Q8IVM8 Q9Y5Y0
O95786 Q13428
P45880 P21754
Q03135 Q9H6H4
Q9UKT9 Q96FJ0
O95411 Q9NZC7
Q8NCK7 P55786
P21675 Q99081
Q6ZN55 Q16540
O95715 Q07325
O75937 Q08211
P61513 Q6DKI1
Q16795 O75306
O43889 Q969S6
O75683 Q9Y3D5
P23769 P62847
Q99081 P51800
O95182 O43674
Q9GZR5 Q69YG0
Q03135 O95622
Q13217 Q6P179
P82932 P82650
Q96EY1 Q9BQ95
P04198 Q15022
A2A3N6 Q9UHK6
Q9UI95 Q9Y2X9
P41002 P61604
Q4LE39 Q8IXM2
Q9NXR8 O75953
P63279 Q96SK2
Q99459 P26373
O95793 P49642
P61513 P61247
O75792 Q13838
P78423 Q8TAD4
P37840 Q13087
Q13330 Q96EB6
O95786 Q96L73
P42766 Q9UL40
P32248 P51685
O14925 O43615
Q08380 Q9NZB2
Q6UWP2 Q13630
Q9NUH8 Q13113
Q9UPY3 P55265
P09622 Q13838
Q92186 Q6UXA7
Q9P0S3 O43889
Q14973 Q8TDT2
O43474 P13807
P62750 Q13206
P23396 Q14562
P17568 O96000
Q9H0W5 P16615
O14960 Q96S59
P0DPB6 Q9NYV6
Q9UBB5 Q12830
Q8NCA9 Q12830
P63173 P25398
Q8WXX5 P35659
O94772 O95158
Q8IWL3 Q96HC4
Q8TAE8 Q13405
P15172 Q9Y467
O75937 P62888
P82912 P82921
Q6PGQ7 P63208
Q8TBP5 Q9UI95
P42166 Q15738
O95786 Q9BWJ5
Q8N6T7 Q7L2E3
Q13123 Q96NB3
P28698 P17028
P23769 O15090
Q13217 Q14697
Q12905 Q9NRX2
P28222 Q8TED1
O95786 O95273
Q99459 Q9Y450
Q86VZ1 Q9H4A6
Q9HB40 Q71U36
Q3KNW5 P60201
Q9NR28 P27449
O60884 Q9NVR0
Q9BY14 Q08722
Q04837 Q9NRX2
Q8NCP5 Q9Y6V7
Q9BQS6 Q9Y664
O95994 Q12857
Q9NV96 Q96S06
O75569 Q9NQV6
Q8IWL3 P10109
Q8IV16 Q8N3Y3
Q8IVM8 Q96S06
P35372 P20292
Q9NR28 Q16718
Q9Y4X4 O95793
Q8IV20 Q674R7
P01106 P50991
Q9Y4X4 Q7L2E3
P62750 Q9NW07
Q7Z3K3 Q96G42
Q8TCT7 Q8WUW1
Q7L5N1 P62263
P24530 Q01814
P16401 P05388
P15313 O75190
Q8N680 Q9NX24
Q8TED1 Q99726
Q9NX01 P23396
P61970 P06454
O15466 Q9NZV5
P82912 Q9H0G5
Q92560 P52739
Q92785 Q9P0M9
Q9UQ35 P38919
P34981 P49407
O00487 P50991
Q9BUQ8 Q8TDD1
Q02363 P15172
P15336 O14867
P37840 P51659
Q9UGP8 Q6ZNB6
Q9Y3E0 P61073
O75475 Q92993
O95881 P07858
Q6UX39 Q9BRT9
O95785 Q7Z3K3
Q6ZN17 Q5VYS8
Q5JX71 P26678
O00585 P32248
Q02930 Q9H2F3
Q9Y2T7 Q14197
P41182 Q8IW45
Q9HCE5 P46782
A0JLT2 Q13838
Q9NVX7 P54253
Q9UQ35 Q9BWJ5
P43681 Q8N2G8
P49411 P19404
P55198 Q05639
Q13951 P42766
P20309 Q9Y3E5
O14880 P23368
O15218 O75845
Q8NCK7 O94761
O15446 Q9BZ95
Q9UN30 Q5VUG0
O94761 Q9UPY3
O15446 Q8IWI9
P39019 Q9NY93
Q9NX58 Q9NY93
Q1KMD3 P16383
Q9UM22 Q86UD1
P62805 O15060
O75376 Q99081
Q96LR7 Q99757
Q16763 Q92793
P54219 Q969S0
Q9H5J0 Q9UJP4
Q99750 O43257
Q8IZ57 P80188
Q8N239 Q9H8H0
Q96HJ3 Q92993
P07858 Q14697
P68543 Q9UNZ2
Q7Z2H8 O75947
Q9P2Y4 Q4LE39
Q9UPY3 Q5T6F2
Q92833 Q15047
P41231 Q5H8A4
Q8IX18 Q9UBB9
Q96MX3 P62424
Q92611 Q86VN1
P25791 O15231
Q9Y2G8 P40429
Q9P2R6 O15014
P48651 Q7L5L3
Q9HAW0 Q9Y678
Q9HCE5 P50990
P09622 P55769
Q9UJV9 O00566
Q9C002 O75947
Q8WVZ9 Q86UK7
P01106 P09382
Q7RTS1 P62424
Q9P0M6 Q03188
P62805 Q9HC78
Q9ULD4 O15015
Q8IYH5 Q92830
P06746 Q01831
Q96C86 O75643
P05388 P23396
Q75WM6 Q9H0U6
Q9UMX9 P29083
Q6IQ16 Q02930
Q92905 P49411
P01308 Q7Z2T5
P25490 Q92793
Q8N661 Q9Y5U9
O43889 Q8NHS1
Q12906 P62857
O60885 O75683
P82930 Q969Q0
P49411 Q9BUJ2
Q14197 O43615
Q9UIH9 Q9Y2X9
P14854 Q9H4A6
Q9H1Y0 Q9H0R8
Q9NR55 P49715
Q9C0K0 Q14145
Q5I7T1 O14545
Q9NRC8 P62701
Q13217 P13667
Q9BUG6 Q5VZL5
P09622 Q9P2K2
Q32P28 Q15084
Q9NWS8 Q92993
P62805 P78371
P21583 Q9HD20
Q9UGI8 P49411
A0JLT2 P52435
Q9H0W5 Q8N3C0
Q16635 Q495W5
Q96MX0 Q13520
Q14CW9 Q12962
P08047 P39019
P57678 P16860
Q5SVZ6 O14639
Q9Y2T6 O43156
Q3KQV3 O43167
Q9NZ42 Q7L014
P39019 O60832
Q8TDT2 Q969S0
Q9NX58 O60832
Q9BX68 Q16795
Q9Y3S2 Q9NRL2
Q15084 Q13162
Q8NHQ9 Q5VW36
Q9UDV6 Q12874
Q9H3R0 P62888
Q04864 Q9BRG1
P46063 P39748
Q96DV4 Q9H0U6
Q96JL9 O14901
Q9NRC8 Q5SSJ5
Q9Y618 P41182
Q14592 Q96EB6
Q13485 O15198
Q9Y3I1 Q9BXP5
Q9UPQ8 Q8TED1
Q8WVK2 Q2TAL8
P49184 Q9Y6A9
Q15465 P18509
P40429 P61313
P0C5Z0 Q9H7N4
Q9NPC1 Q9H3S5
Q96K58 Q9H8H2
Q92905 P35659
P08047 P24385
O75586 O43513
O43614 Q9H7F0
O94761 P62857
Q96MF4 P23396
P15374 P13010
Q8IY92 Q99497
Q9UKX7 Q96KR1
P0C5Z0 Q9NVU7
O95600 P45880
Q96EG3 Q9H9D4
O95182 O43615
Q6P5X5 Q52LG2
Q49AN0 O15534
P40692 P41222
Q9Y4X4 Q9Y3D3
P09234 Q09161
O95786 P36969
Q9BPU9 Q8IX01
P49450 Q96BK5
Q92841 P26196
Q9UIH9 P56270
P17676 P15941
P62805 Q9NPI1
Q13520 Q13113
Q9H2P0 Q969R5
Q9UJW3 P55085
Q6PI26 Q96IK5
Q5MJ10 Q9UHK0
O95793 P23368
P49450 Q7Z4V5
O60885 Q9BUQ8
O94761 Q16795
Q9GZT5 Q96E35
P15172 P15923
Q99750 Q05952
Q99598 P23396
Q8IWL3 P55789
Q9H1Y0 P07737
Q6NUQ1 Q99633
P18509 P62699
P01308 Q14697
Q9H0G5 P39019
Q8IWL3 Q9HD34
Q9NR30 O60832
P40692 Q99757
Q8NB12 Q03989
P07858 P13667
P35244 Q13428
Q9ULD4 Q8IX01
Q14197 Q96EL2
Q9GZM5 P0CG08
Q8TF39 O14709
Q8IY92 Q9Y3D3
Q96EB6 P10809
P62424 P61247
O14842 Q8N1S5
Q32P28 P13716
O60885 P24863
Q15005 Q9Y6A9
Q6ZN18 P62891
Q9BZQ6 Q9BV94
A2A3N6 Q7Z3K3
Q15047 Q96LY2
Q75WM6 O95625
P51946 A0JLT2
P55085 Q9UI26
Q16637 O95865
A8MT69 P54132
Q03135 Q14145
Q12906 Q9NRX2
P10809 Q9NWT8
P09234 Q9BXP5
P49450 Q92841
O15353 P25490
P48735 Q99497
Q96FI4 Q01831
P52739 Q96MW7
Q8IWL3 P68036
O95786 Q7Z6L1
Q96SF2 Q9ULV3
Q96KC8 P40429
Q86U44 Q16650
Q03135 P14854
O95793 P40227
P49450 Q14202
Q9HCE5 P18621
O95274 Q3SXM5
Q16795 Q9UDW1
P10809 Q16795
Q92833 P48643
Q96HH4 Q9NZV5
P04198 Q92993
Q9NRC8 Q96KR1
P46019 Q96MW1
P82932 Q9Y3D5
Q6ZN17 Q9Y2T7
P35244 Q9BWJ5
Q86WX3 P39019
P61247 Q6IQ21
P05112 P35225
Q9NR33 P09382
Q9H0R8 P09234
O95402 Q15544
Q8WVZ9 Q96EL2
Q8IW45 Q96SK2
O15239 O95169
P41002 O00487
P41002 P55789
Q13217 Q13162
P10809 P10606
P41002 P13010
P37275 Q05639
Q66K89 O60832
P49715 Q05516
Q8N5U1 Q9NQ11
Q9NQ11 P25929
Q12857 Q04837
P01106 P10244
P54274 Q9NR30
O94761 Q9NRX2
Q8NCK7 P62805
P61604 P10809
Q96FF9 O75643
Q9NY93 P62899
P63279 P78347
P53539 Q16236
P62805 Q8TF01
Q9Y664 Q5TGY1
O95786 Q9NX09
Q9Y3E0 Q15005
P30086 Q9H299
P34969 Q08211
Q9HBJ0 Q92830
Q53EQ6 Q8TAD7
Q16254 Q9UBL3
P01106 Q5T6C5
Q9UNL2 O00716
Q86VW1 Q01814
P25105 P34995
Q6IE81 Q13867
Q9UI26 Q96HC4
O43623 Q99460
Q13520 O75396
P48651 P09668
Q96C86 P49715
Q99714 P49327
Q8IY34 Q9HD45
Q9NWS8 Q5SRR4
Q9Y4X4 P82912
Q8WY98 Q07325
P09622 Q92522
Q99497 P03905
O60885 Q86YP4
Q9Y468 P62805
Q8N680 P62891
Q99714 P39748
Q9UPP1 Q15828
P47775 Q9GZR5
P43119 Q16739
Q16348 Q6PEX3
P62805 O75643
Q9BPX1 Q96LB9
O95994 P55786
Q9NVR0 P18510
Q7L2E3 P56556
Q8N5K1 Q9UHJ9
Q8IXK0 O14901
O95182 Q99750
Q9UGP8 P48651
O94761 Q96EY1
O95600 P16615
Q9NRC8 P54886
Q02363 O95199
Q8IX18 Q14562
P34969 P62888
O95793 O75343
Q96C86 Q7Z3K3
Q8TCT7 O95169
Q16650 Q5VZL5
Q9H3Q3 Q5SRI9
Q6IE81 P62750
Q9UGM1 Q9Y320
O95600 Q9UKD1
Q96LB9 O43286
Q96HE7 Q9NP55
P49411 Q9P0M9
Q16581 Q3SXM5
Q13118 Q4LE39
P47900 Q9H1C4
Q9BQ95 Q16698
Q8N490 Q7Z4Q2
Q7L2E3 Q9Y3D3
Q86XD5 Q9BSJ5
Q15274 Q8WXI9
Q8IY92 Q14166
P07858 Q13162
Q8NBA8 O60884
Q96K58 Q9UEG4
Q7L2E3 Q96EY8
P01106 Q92890
O95786 Q96LT4
Q13838 Q71U36
P01275 Q96E35
Q9HAW0 P56192
O00214 Q7L0J3
Q9H2K0 P82921
P67870 Q6UVY6
P62280 P62847
Q96D98 Q8N6I1
Q96BK5 P39019
O60885 Q9GZT9
Q9C009 Q92793
P40429 P62424
Q92499 P54886
P25440 Q92620
O95793 Q9H9B4
Q9NWT8 Q7Z2T5
Q14197 O75394
O75409 Q9NP80
O95600 Q99460
Q6IAA8 Q9BU23
Q9NZL9 P06280
Q96C86 P23396
Q6P2H8 Q7L7V1
Q14CZ7 P82930
O14978 Q96EL2
O43759 Q92546
P82912 Q9Y3D5
P49411 Q5T653
Q14197 Q9BYC8
P57678 Q9UHI6
P54274 Q9BVJ6
Q13838 P13667
P0C7P0 P10620
Q9NZC7 Q99714
P40429 Q9BYD6
P00403 P14854
Q99459 Q9NX05
Q15672 Q96HZ4
O15243 P56557
P52739 Q5SVZ6
Q99814 Q9H944
O00422 Q16740
Q8WUU4 P37840
O14843 Q96B49
Q8N6L1 P61073
P55316 O43823
P09234 Q08211
Q99742 Q9BTE3
Q9H6H4 Q9BTX3
Q96K58 Q96GQ7
P25090 O43156
Q9NSC2 Q86YP4
Q9Y2Y0 Q9P215
Q86UK7 Q15008
P01100 Q15828
Q86UK7 O15372
Q9C002 P15954
Q5TYW1 O75953
Q8TDD1 Q9C0C9
P37108 Q96K58
O95619 Q8N1G0
Q9HC38 Q9Y5P6
Q12905 P54886
Q9NPI1 Q96EY1
P54886 Q15274
Q96C00 O43167
O15467 P13501
Q13304 Q6NUQ1
O14957 Q92576
O75626 Q96F45
P46782 P35268
Q8IX18 O75683
P01308 Q9BUQ8
P30793 Q9NPA3
Q86VK4 Q8IZU0
P61081 P54274
Q9Y3I1 Q8NGZ2
P13500 P13501
Q71U36 P78371
Q14145 Q9BYX4
Q96DT7 P19447
Q9NP55 Q9HBE1
O00422 Q8N1F7
P24864 P16401
Q08380 P78371
P55317 Q14146
P58012 Q03060
Q92583 O00626
Q15274 Q8NFD5
P01106 Q9BVI0
P54274 P39748
O15218 Q5VW36
P47929 Q9P2G9
P61086 P14635
Q9NR30 P61313
Q9NWS0 Q9NR30
O15239 O75306
Q9Y3S2 Q9NSC2
Q8IY34 P07858
Q99598 O14901
Q9H2K0 P82650
Q9BUQ8 Q9GZR7
O14925 O43889
O14764 Q8WY22
Q147X3 Q71U36
Q14686 P13010
P49447 Q04941
O95600 O60315
P82912 Q9NV79
Q99459 Q16763
P78563 Q5VYS8
Q9UBL3 P61513
P01106 Q8N0Z2
O75394 Q9H0U6
Q06136 Q8WZA1
P01308 Q13162
Q9UBK5 Q8NDZ6
Q12906 Q5SSJ5
Q9Y3I1 Q9H2K0
Q9H5V7 Q9NR12
P41002 Q96LL9
Q99459 P49368
Q9NQ11 Q9Y284
P08195 Q9NX09
P62750 Q96GQ7
Q9H1C4 P36021
P61313 Q8NHQ9
O00716 Q9UJV9
Q96T68 P59923
Q7L5N1 P63173
Q9Y3S2 P35659
Q9UKX7 O43156
P01106 Q8TED1
O43759 Q92685
Q03060 P09234
Q8IYD1 O95793
Q99714 Q15084
O94761 P62701
Q99742 Q8TDZ2
P62750 P39019
O14734 Q8NBE8
Q8IYD1 Q7L2E3
Q08050 Q9H5J0
Q96Q45 Q8N661
P04198 P08047
P62424 P23396
O43524 P85037
Q92830 P17676
Q99750 Q14554
Q8N720 P0DI81
P42766 P62280
Q9NZC7 Q92499
Q8IWL3 Q96DV4
Q92748 Q9NPA3
Q9H1X3 Q9HD20
Q92905 Q1KMD3
Q96Q45 Q969S0
Q9H244 O75947
O95793 Q86UK7
O94761 Q5SSJ5
P06307 Q53FD0
Q9P1Z0 Q13105
Q6IAA8 O94830
P54253 O00746
Q99459 Q9NR12
P24864 Q14188
P47992 P02778
P82930 P26373
Q969U7 Q9Y3I1
P49407 P25116
P09622 Q16540
Q96NZ1 P54253
Q13520 Q07325
O43674 O75251
O95402 Q9Y3C7
P51857 Q96EB6
Q6NUN9 Q6P4A7
Q92610 O15198
Q9NWS8 P07858
Q9NY93 P38919
Q8WVE7 Q96HR9
Q17R98 Q86YP4
P49407 P13010
Q8TCT7 Q96B77
Q14376 P49023
O95402 O15514
P36954 O75575
P26358 Q14526
Q96LL9 O96000
Q9UL40 Q8IY37
Q9H582 Q9H2P0
Q9NZC7 Q86T24
Q8N6G5 Q9H0W5
Q96EY1 P82930
P62805 O60884
P54253 Q9Y618
O14530 P78371
Q86TJ2 Q96EB6
Q8NCK7 P48651
Q96K58 Q9H2U1
P25090 O75915
Q8TBP5 Q03169
Q96HC4 O75937
Q9BU76 Q6PID8
P37837 P61604
Q9UJW3 P18847
O15498 P30086
P26373 Q9NVU7
Q9NWS0 Q6YN16
Q9NWH2 O95167
P27449 O75964
P0C7P0 P49327
Q9UL40 P26373
Q5JX71 Q9HCP6
P15172 Q9C0C9
O75593 Q99856
Q9NZC7 Q02930
Q9P0M9 Q9BYD6
Q8N490 Q96P70
Q8IWZ8 P35270
Q9NY12 P57678
P09622 Q5T6F2
Q9NVM6 Q9H0G5
P57678 P09382
Q9HB58 Q5T5X7
Q8N720 Q92785
P01106 P63173
P43115 P57678
O60884 Q9NWZ8
Q9UL40 P05388
Q96BZ8 P56192
Q5TAB7 O60756
Q92633 Q8N6G5
Q9H2K0 Q9NP92
O14901 Q13952
O95793 Q8NHQ9
P0C5Z0 Q92665
Q9HCE5 P61247
Q99788 O75907
P49407 P25490
P02778 Q07325
Q9BY14 Q1KMD3
Q92889 Q2VPB7
P67870 Q9BVJ6
Q9UL40 Q9BYC8
P25490 Q68CP9
O94761 Q5T750
Q9UFB7 Q9H116
Q9HAZ2 Q8IZ40
Q9NR77 P48651
Q8TDU9 O43156
P78423 Q8N6G5
Q9NWS0 P49327
Q99612 Q96QT6
Q9BTE3 Q9BRT9
P0CAP2 P62424
Q96KC8 Q6NUQ1
P01106 P04198
O75683 Q8N4P3
P61081 P17987
O95402 P30876
Q9Y5Z0 P01308
Q9Y3S2 O95625
Q15369 Q9NV79
Q6IAA8 Q9HD45
Q96I36 O15498
P16401 Q9H8H2
O94761 Q96KR1
Q9H609 Q96IF1
Q99714 Q99460
P54709 P14927
Q9BWE0 P42766
Q4LE39 Q9UBB5
